"Cause Name","total_attention_score","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","metric_id","metric_name","year","DALY","upper","lower"
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",94215,"Organization of Islamic Cooperation",3,"Both",22,"All ages",400,1,"Number",2023,2539614.334,3773436.497,1547130.661
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",94216,"Association of Southeast Asian Nations",3,"Both",22,"All ages",400,1,"Number",2023,393535.5917,528632.0725,272976.9566
"Acute hepatitis",1182,2,"DALYs (Disability-Adjusted Life Years)",94366,"Sahel Region",3,"Both",22,"All ages",400,1,"Number",2023,944421.3727,1618246.545,454778.9735
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",401,1,"Number",2023,161952.3323,245009.1167,106683.9535
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",158,"South Asia",3,"Both",22,"All ages",401,1,"Number",2023,1647724.502,2475598.568,953537.2628
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",401,1,"Number",2023,380519.1603,660442.7897,173430.8551
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",401,1,"Number",2023,12859.57853,17384.0311,9322.094054
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",64,"High-income",3,"Both",22,"All ages",401,1,"Number",2023,30381.78217,42843.77039,20834.32319
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",401,1,"Number",2023,76198.5502,126192.9759,41912.99722
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",103,"Latin America and Caribbean",3,"Both",22,"All ages",401,1,"Number",2023,24295.60031,31376.15411,17484.17268
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",401,1,"Number",2023,1144794.183,1748134.045,727378.5397
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44587,"African Union",3,"Both",22,"All ages",401,1,"Number",2023,409707.2669,704761.1255,189976.9556
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",478,"World Bank Regions",3,"Both",22,"All ages",401,1,"Number",2023,2332951.327,3365413.23,1479272.683
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",251,"Melanesia",3,"Both",22,"All ages",401,1,"Number",2023,9663.168157,17175.09527,3934.967578
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",479,"WHO region",3,"Both",22,"All ages",401,1,"Number",2023,2332071.957,3364546.425,1478571.221
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44634,"High-middle SDI",3,"Both",22,"All ages",401,1,"Number",2023,169076.4022,331820.5575,94708.04447
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",252,"Micronesia",3,"Both",22,"All ages",401,1,"Number",2023,88.06074398,152.9566723,48.91151324
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",257,"Polynesia",3,"Both",22,"All ages",401,1,"Number",2023,66.03957941,107.1975855,37.72213035
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44534,"Commonwealth",3,"Both",22,"All ages",401,1,"Number",2023,1756752.325,2592933.601,1055073.394
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44636,"Low-middle SDI",3,"Both",22,"All ages",401,1,"Number",2023,698532.1892,1099344.7,404754.5546
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44639,"Middle SDI",3,"Both",22,"All ages",401,1,"Number",2023,115440.8706,201492.5555,67112.22752
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",94217,"Gulf Cooperation Council",3,"Both",22,"All ages",401,1,"Number",2023,2915.467703,4020.461504,2010.781546
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44642,"Nordic Region",3,"Both",22,"All ages",401,1,"Number",2023,502.6372419,711.3006453,334.7097233
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",4745,"League of Arab States",3,"Both",22,"All ages",401,1,"Number",2023,95499.98249,175716.3079,44756.27322
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44591,"World Bank Income Levels",3,"Both",22,"All ages",401,1,"Number",2023,2332951.327,3365413.23,1479272.683
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",4743,"European Union",3,"Both",22,"All ages",401,1,"Number",2023,11207.75695,15798.59864,7637.770481
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44635,"High SDI",3,"Both",22,"All ages",401,1,"Number",2023,76964.69733,108506.2104,53409.35447
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44637,"Low SDI",3,"Both",22,"All ages",401,1,"Number",2023,1272937.68,1814233.999,756648.1851
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",44584,"OECD Countries",3,"Both",22,"All ages",401,1,"Number",2023,40717.11545,54992.80848,29100.71024
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",94215,"Organization of Islamic Cooperation",3,"Both",22,"All ages",401,1,"Number",2023,975785.1666,1558445.134,531616.5457
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",94216,"Association of Southeast Asian Nations",3,"Both",22,"All ages",401,1,"Number",2023,99392.54575,173156.8914,56024.0229
"Acute hepatitis A",591,2,"DALYs (Disability-Adjusted Life Years)",94366,"Sahel Region",3,"Both",22,"All ages",401,1,"Number",2023,193881.9126,357282.5372,70931.4551
