GBD.term,n_total_studies,weighted_nhits,weighted_attention_score_impact_factor,weighted_n,nhit,total_attention_score
Other malignant neoplasms,941,0.048756021,51.23251143,1.151604834,21,76479
Other mental disorders,2344,8327,16937.37445,1127.665898,14289,1990935
Other musculoskeletal disorders,1344,490.8238901,1987.138101,303.9392844,1323,208920
Other neglected tropical diseases,176,1694,2199.233038,99.74780922,1738,420057
Other neonatal disorders,0,0,0,0,0,116
Other neoplasms,738,1404.431428,1390.186515,72.21562922,1684,18706830
Other neurological disorders,608,1240.074419,1702.753666,148.8148319,1488,660224
Other non-Hodgkin lymphoma,21,0,1.070363739,0.034172787,0,2060
Other non-rheumatic valve diseases,0,0,0,0,0,0
Other nutritional deficiencies,58,0.010507881,5.555790897,0.272977688,6,18312
Other oral disorders,850,3506.25,1548.494643,365.014703,5236,245907
Other pharynx cancer,25,23.50595245,63.639740689999996,3.574878574,83,164750
Other pneumoconiosis,8,1.5,2.31871984,0.514474859,3,34500
Other sense organ diseases,1,0,0.046035599,8.09061e-4,0,378
Other sexually transmitted infections,0,0,0,0,0,0
Other skin and subcutaneous diseases,840,3383,1555.650292,166.316126,4872,603942
Other unspecified infectious diseases,319,432.5,350.4749777,43.55973678,1001,256898
Other urinary diseases,1321,3151.322362,3850.170996,280.3226313,5094,319741930
Other vision loss,2,1.775,0.786886189,0.026278772,71,82775
Otitis media,360,320.9067107,336.1297818,61.11900043,400,1882180
Ovarian cancer,120,36.78333183,93.20461437,7.657257482,474,12849672
Pancreatic cancer,681,2606.352033,6538.769093,394.211046,3797,468526
Pancreatitis,96,31.58449612,196.2378897,6.864190819,96,130722
Paralytic ileus and intestinal obstruction,78,0.022711716,3.181513429,0.068065805,24,286995
Paratyphoid fever,6,2.009302326,62.17302326,2.018604651,4,8850
Parkinson's disease,7280,41437.0581,60192.77571,3702.13239,50375,56680455
Peptic ulcer disease,340,374.3751734,624.8205013,36.05449972,1830,14279630
Periodontal diseases,26,0.003525264,1.238639994,0.024944429,3,27226180
Pertussis,11,0,1.391993305,0.03550007,0,3081
Pneumoconiosis,89,18,27.25591824,6.159223452,36,104192
Polycystic ovarian syndrome,735,2362.070291,4250.649641,365.6778359,3087,5880273
Premenstrual syndrome,0,0,0,0,0,0
Prostate cancer,336,9782.366744,1214.121402,144.9839606,13668,2113860
Protein-energy malnutrition,28,0.004700353,1.376900038,0.028626733,4,170856
Pruritus,558,7.901111047,77.42517513,10.78999091,180,1917126
Psoriasis,4845,68603.48476,22046.9066,1568.899553,94095,141114909
Pulmonary Arterial Hypertension,16,56,450.272,16,56,12988
Pyoderma,4,0.002350176,0.124033595,0.003968299,2,4142
Rabies,0,0,0,0,0,0
Refraction disorders,3752,19876.26667,5332.96138,720.1896617,38136,681623
Retinoblastoma,44,2.011888203,277.5585067,9.01350753,33,24788
Rheumatic heart disease,105,161.1430768,656.7206159,35.0802786,245,330155
Rheumatoid arthritis,12530,129210.5461,79614.41631,3710.558648,234850,260772400
Scabies,1,0,0.113485114,0.001751313,0,2243
Schistosomiasis,0,0,0,0,0,0
Schizophrenia,29700,452215.3268,159445.874,10616.86447,631950,2217846290
Seborrhoeic dermatitis,84,72.22064276,43.06852351,6.075036898,342,585210
Sexually transmitted infections excluding HIV,3,0,0.340455342,0.00525394,0,1050
Sickle cell disorders,49,983.5,290.85,45.5,1036,5952
Sickle cell trait,42,108,168.3,33,114,6515
Silicosis,0,0,0,0,0,0
Soft tissue and other extraosseous sarcomas,20,40,204.7150895,12.01023018,40,3446
Stomach cancer,6,1.1,2.243120205,0.189514066,22,117641
Stroke,9032,16255.28459,43325.21901,2214.590787,37960,193758240
Subarachnoid hemorrhage,207,0.184969604,39.20319544,3.658298371,135,185454
Sudden infant death syndrome,0,0,0,0,0,0
Syphilis,0,0,0,0,0,0
Tension-type headache,28,0.01440909,1.080504339,0.026736569,16,30692
Testicular cancer,20,27.4,136.6711772,10.15501012,84,4172
Tetanus,2,0.4,3.52,0.4,2,1852
Thalassemias,3,0.014010508,0.340455342,0.00525394,8,896
Thalassemias trait,0,0,0,0,0,0
Thyroid cancer,98,6.300929675,17.18109064,2.112879,217,281225
Thyroid diseases,5,22,16.3,2,55,3264
"Tracheal, bronchus, and lung cancer",478,1135.805418,945.5119388,89.02372265,3993,12096554
Trachoma,18,16.30769231,50.93690248,4.320769445,30,13159
Trichomoniasis,0,0,0,0,0,0
Trichuriasis,0,0,0,0,0,0
Tuberculosis,1733,3781.066661,6186.961499,626.1541664,5508,2812616
Turner syndrome,0,0,0,0,0,0
Typhoid and paratyphoid,18,6.027906977,186.5190698,6.055813953,12,26550
Typhoid fever,6,2.009302326,62.17302326,2.018604651,4,8850
Ulcerative colitis,1624,10349.25,12814.83423,680.3453829,23031,838403
Upper digestive system diseases,2935,2916.161367,2202.746965,157.3783588,13830,136713075
Upper respiratory infections,67,0.046731876,4.580545025,0.094773148,28,249162
Urinary diseases and male infertility,2378,3670.094304,4663.271111,339.4536796,8069,350864573
Urinary tract infections and interstitial nephritis,53,4.191485534,16.19578982,2.724108274,19,15185413
Urogenital congenital anomalies,2,0,0.078772379,0.002557545,0,134
Urolithiasis,500,176.1124079,236.0035372,12.62243947,1400,8221640
