"age_group_id","cause_id","location_id","measure_id","metric_id","sex_id","year_id","acause","age_group_name","cause_name","expected","location_name","location_type","measure","measure_name","metric_name","sex","val","upper","lower"
22,950,44638,2,1,1,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",51.287171361444,154.108479093142,11.9826752795252
22,950,44638,2,1,2,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",0,0,0
22,950,44638,2,1,2,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",18.8895208709679,58.1382332785751,4.29018965562269
22,950,44639,2,1,1,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",0,0,0
22,950,44639,2,1,1,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",2426.59753300654,5989.82666891246,639.148733182095
22,950,44639,2,1,2,1990,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",0,0,0
22,950,44639,2,1,2,2023,"hiv_tb_xdr","All Ages","HIV/AIDS - Extensively drug-resistant Tuberculosis",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",1088.82201560652,2793.46699751737,288.241869705563
22,300,44634,2,1,1,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",436747.957387274,592394.908989606,311335.620187007
22,300,44634,2,1,1,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",3988540.062253,4956923.34770811,3202422.73537091
22,300,44634,2,1,2,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",217831.235840285,284418.085387083,162461.342798809
22,300,44634,2,1,2,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",2981986.73179842,3950382.66960746,2338372.21450855
22,300,44635,2,1,1,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",2024373.63353964,2165763.33551834,1910306.46163307
22,300,44635,2,1,1,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",1712794.54070817,1932677.87765115,1567050.91169867
22,300,44635,2,1,2,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",359127.474309763,384686.274236155,335604.140317786
22,300,44635,2,1,2,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",774596.115737099,853751.017308331,708376.903299209
22,300,44636,2,1,1,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",592209.942348746,735119.743629747,469631.077144402
22,300,44636,2,1,1,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",2635602.94334094,3244402.79992104,2098522.83475051
22,300,44636,2,1,2,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",590363.382144048,756264.913298813,470539.817959061
22,300,44636,2,1,2,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",2977895.13786239,3701479.95738754,2358868.1572513
22,300,44637,2,1,1,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",4532029.84029291,5665577.54796235,3769391.58069226
22,300,44637,2,1,1,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",7273164.67722141,9238562.27101173,5678272.87260178
22,300,44637,2,1,2,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",4768785.65293695,6008475.6318114,3968807.5061183
22,300,44637,2,1,2,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Low SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",8957058.410825,11373198.1652034,7201225.09735777
22,300,44638,2,1,1,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",1271766.49728919,1336585.26394517,1211470.14647134
22,300,44638,2,1,1,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",260546.452500074,315801.721812713,214084.74750792
22,300,44638,2,1,2,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",185946.06203546,194923.695211476,177598.498676949
22,300,44638,2,1,2,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"North America","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",101162.057803319,125591.296513671,83001.0177712742
