"gbd_condition","ontology_id","channels","channel_details"
"Diabetes mellitus","MONDO:0005015","legacy_first_part|lexical","search='Diabetes mellitus' label='diabetes mellitus' ;; source_col=EFO 2 raw=MONDO:0005015"
"Diabetes mellitus","MONDO:0005147","lexical","search='Diabetes mellitus' label='type 1 diabetes mellitus'"
"Diabetes mellitus","MONDO:0005148","lexical","search='Diabetes mellitus' label='type 2 diabetes mellitus'"
"Diabetes mellitus","MONDO:0005408","lexical","search='Diabetes mellitus' label='diabetes mellitus type 2 associated cataract'"
"Diabetes mellitus","OBA:2001012","lexical","search='Diabetes mellitus' label='age of onset of type 1 diabetes mellitus'"
"Diabetes mellitus","OBA:2001013","lexical","search='Diabetes mellitus' label='age of onset of type 2 diabetes mellitus'"
"Diabetes mellitus type 1","MONDO:0005015","lexical","search='Diabetes mellitus type 1' label='diabetes mellitus'"
"Diabetes mellitus type 2","MONDO:0005015","lexical","search='Diabetes mellitus type 2' label='diabetes mellitus'"
"Diabetes mellitus type 2","MONDO:0005408","lexical","search='Diabetes mellitus type 2' label='diabetes mellitus type 2 associated cataract'"
"Diarrheal diseases","HP:0002014","lexical","search='Diarrheal diseases' label='Diarrhea'"
"Diarrheal diseases","MONDO:0000001","lexical","search='Diarrheal diseases' label='disease'"
"Diphtheria","MONDO:0005504","legacy_first_part|lexical","search='Diphtheria' label='diphtheria' ;; source_col=EFO 5 raw=MONDO:0005504"
"Down syndrome","EFO:0022028","lexical","search='Down syndrome' label='down syndrome cell adhesion molecule measurement'"
"Drug-susceptible tuberculosis","EFO:0007918","legacy_first_part","source_col=EFO 2 raw=EFO:0007918"
"Drug-susceptible tuberculosis","EFO:0803635","legacy_first_part","source_col=EFO 5 raw=EFO:0803635"
"Drug-susceptible tuberculosis","MONDO:0000368","legacy_first_part","source_col=EFO 4 raw=MONDO:0000368"
"Drug-susceptible tuberculosis","MONDO:0006052","legacy_first_part","source_col=EFO 3 raw=MONDO:0006052"
"Drug-susceptible tuberculosis","MONDO:0018076","legacy_first_part|lexical","search='Drug-susceptible tuberculosis' label='tuberculosis' ;; source_col=EFO 1 raw=MONDO:0018076"
"Dysthymia","MONDO:0001442","legacy_first_part","source_col=EFO 3 raw=MONDO:0001442"
"Eating disorders","MONDO:0005451","legacy_second_part|lexical","search='Eating disorders' label='eating disorder' ;; source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0005451"
"Ectopic pregnancy","EFO:0002950","lexical","search='Ectopic pregnancy' label='pregnancy'"
"Ectopic pregnancy","HP:0031456","legacy_first_part|lexical","search='Ectopic pregnancy' label='Ectopic pregnancy' ;; source_col=EFO 1 raw=HP:0031456"
"Encephalitis","MONDO:0006009","lexical","search='Encephalitis' label='viral encephalitis'"
"Encephalitis","MONDO:0019956","legacy_first_part|lexical","search='Encephalitis' label='encephalitis' ;; source_col=EFO 4 raw=MONDO:0019956"
"Encephalitis","MONDO:0021081","lexical","search='Encephalitis' label='anti-NMDA receptor encephalitis'"
"Endocarditis","MONDO:0005025","legacy_first_part|lexical","search='Endocarditis' label='endocarditis' ;; source_col=EFO 2 raw=MONDO:0005025"
"Endocarditis","MONDO:0006669","lexical","search='Endocarditis' label='bacterial endocarditis'"
"Endocrine, metabolic, blood, and immune disorders","MONDO:0005046","legacy_second_part","source_col=MAPPED_TRAIT_URI...10 raw=MONDO:0005046"
"Endocrine, metabolic, blood, and immune disorders","MONDO:0005151","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0005151"
"Endocrine, metabolic, blood, and immune disorders","MONDO:0005570","legacy_second_part","source_col=MAPPED_TRAIT_URI...9 raw=MONDO:0005570"
"Endometriosis","MONDO:0001285","lexical","search='Endometriosis' label='endometriosis of pelvic peritoneum'"
"Endometriosis","MONDO:0005133","legacy_first_part|lexical","search='Endometriosis' label='endometriosis' ;; source_col=EFO 2 raw=MONDO:0005133"
"Endometriosis","MONDO:0006337","lexical","search='Endometriosis' label='ovarian endometriosis'"
"Esophageal cancer","MONDO:0004992","lexical","search='Esophageal cancer' label='cancer'"
"Esophageal cancer","MONDO:0007576","lexical","search='Esophageal cancer' label='esophageal cancer'"
"Extensively drug-resistant tuberculosis","MONDO:0018076","lexical","search='Extensively drug-resistant tuberculosis' label='tuberculosis'"
"Eye cancer","MONDO:0002236","legacy_first_part","source_col=EFO 1 raw=MONDO:0002236"
"Eye cancer","MONDO:0004992","lexical","search='Eye cancer' label='cancer'"
"Female infertility","MONDO:0005372","lexical","search='Female infertility' label='male infertility'"
"Female infertility","MONDO:0021124","lexical","search='Female infertility' label='female infertility'"
"Fungal skin diseases","MONDO:0000001","lexical","search='Fungal skin diseases' label='disease'"
"Fungal skin diseases","MONDO:0004678","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0004678"
"Gallbladder and biliary diseases","MONDO:0000001","lexical","search='Gallbladder and biliary diseases' label='disease'"
"Gallbladder and biliary tract cancer","MONDO:0003060","lexical","search='Gallbladder and biliary tract cancer' label='biliary tract cancer'"
"Gallbladder and biliary tract cancer","MONDO:0004992","lexical","search='Gallbladder and biliary tract cancer' label='cancer'"
"Gastritis and duodenitis","MONDO:0004627","lexical","search='Gastritis and duodenitis' label='duodenitis'"
"Gastritis and duodenitis","MONDO:0004966","legacy_first_part|lexical","search='Gastritis and duodenitis' label='gastritis' ;; source_col=EFO 2 raw=MONDO:0004966"
"Gastroesophageal reflux disease","MONDO:0000001","lexical","search='Gastroesophageal reflux disease' label='disease'"
"Gastroesophageal reflux disease","MONDO:0007186","legacy_first_part|lexical","search='Gastroesophageal reflux disease' label='gastroesophageal reflux disease' ;; source_col=EFO 2 raw=MONDO:0007186"
"Genital herpes","MONDO:0005770","legacy_first_part|lexical","search='Genital herpes' label='genital herpes' ;; source_col=EFO 2 raw=MONDO:0005770"
"Glaucoma","EFO:0009944","lexical","search='Glaucoma' label='Antiglaucoma preparations and miotics use measurement'"
"Glaucoma","EFO:0021425","lexical","search='Glaucoma' label='pigmentary glaucoma'"
"Glaucoma","HP:0001259","lexical","search='Glaucoma' label='Coma'"
"Glaucoma","MONDO:0001868","lexical","search='Glaucoma' label='primary angle-closure glaucoma'"
"Glaucoma","MONDO:0005041","legacy_first_part|lexical","search='Glaucoma' label='glaucoma' ;; source_col=EFO 1 raw=MONDO:0005041"
"Glaucoma","MONDO:0005338","lexical","search='Glaucoma' label='open-angle glaucoma'"
"Glaucoma","MONDO:0006837","lexical","search='Glaucoma' label='low tension glaucoma'"
"Gonococcal infection","EFO:0000544","lexical","search='Gonococcal infection' label='infection'"
"Gout","EFO:0008016","lexical","search='Gout' label='Agouti-related protein measurement'"
"Gout","EFO:0021525","lexical","search='Gout' label='renal overload-type gout'"
"Gout","EFO:0801357","lexical","search='Gout' label='Agouti-signaling protein measurement'"
"Gout","MONDO:0005393","legacy_first_part|lexical","search='Gout' label='gout' ;; source_col=EFO 2 raw=MONDO:0005393"
"Gout","OBA:2040700","lexical","search='Gout' label='level of agouti-signaling protein in blood serum'"
"Gout","OBA:2052164","lexical","search='Gout' label='amount of agouti-related protein (human) in blood'"
"Guinea worm disease","MONDO:0000001","lexical","search='Guinea worm disease' label='disease'"
"Gynecological diseases","MONDO:0000001","lexical","search='Gynecological diseases' label='disease'"
