GBD.term,total_attention_score,weighted_nhits,weighted_attention_score_impact_factor,weighted_n,nhit
Congenital heart anomalies,49136,100.00676151035,142.651755479437,17364.2357597867,178
Orofacial clefts,177369,923.583333333333,500.466666666667,89947.75,1828
Down syndrome,113966,0.0192201647902834,0.107395361705635,40.2592212115746,55
Turner syndrome,0,0,0,0,0
Klinefelter syndrome,0,0,0,0,0
Other chromosomal abnormalities,114594,62.3356835095966,180.234733225252,37797.154100696,189
Congenital musculoskeletal and limb anomalies,40940,0,0.610674110755416,37.0180495074158,0
Urogenital congenital anomalies,2599,20.0011750881316,29.5601526822779,1373.16381721843,21
Digestive congenital anomalies,568,13,6.2,568,13
Other congenital birth defects,2777,32.2511750881316,15.8326030399466,882.6384431984,34
Urinary tract infections and interstitial nephritis,1234447,12.3941929327833,72.5932163943915,28114.6666333384,97
Urolithiasis,1138191,216.76536118114,201.506088481283,129834.705624039,447
Benign prostatic hyperplasia,759587,24.8274486412668,22.0117799269232,21200.0241786141,149
Male infertility,160722,5.98504405629775,34.5666136718199,1599.82375137841,30
Other urinary diseases,1255418,2.05964247790373,9.04540394528903,2466.48484104889,52
Uterine fibroids,1583282,917.155538514546,109.358511480296,478371.953590379,1283
Polycystic ovarian syndrome,292882,112.479537661231,257.758979294149,93671.3994384536,147
Female infertility,204636,15.6809315180413,98.8555051642513,17238.0404820504,48
Endometriosis,2526648,536.218474149739,552.348952252959,1232843.29953799,1029
Genital prolapse,242055,159.756442441057,48.8396956492698,78160.2196498209,236
Premenstrual syndrome,1027,0.00117508813160987,0.117366612626121,1.058128714578,1
Other gynecological diseases,434734,4.67371719545633,12.8569868960002,6263.42529895417,34
Thalassemias,25999,0.0282707574352779,0.626152323690183,46.316057453072,16
Thalassemias trait,25999,0.0282707574352779,0.626152323690183,46.316057453072,16
Sickle cell disorders,17467,4.00917431192661,24.5855355743582,3526.51425805219,5
Sickle cell trait,17467,4.00917431192661,24.5855355743582,3526.51425805219,5
G6PD deficiency,0,0,0,0,0
G6PD trait,0,0,0,0,0
Other hemoglobinopathies and hemolytic anemias,14388,0.0486674896694672,0.57962582380752,12.1595776181668,28
Thyroid diseases,769068,17.6179931937047,23.7463822314401,8426.20999916878,396
"Other endocrine, metabolic, blood, and immune disorders",93164,0.0130347110041041,1.50368634169481,528.035992305298,11
Caries of deciduous teeth,657650,252.384355430204,117.253525191239,126200.301076723,381
Caries of permanent teeth,657721,254.384355430204,109.453525191239,123962.301076723,404
Periodontal diseases,1565784,227.095609443436,238.350832886859,1102417.91844746,246
Edentulism,683366,13.0172793097023,18.2432918946956,19475.8329933038,33
Other oral disorders,554838,0.284432879194168,3.29557053794312,5089.60176574816,11
Sudden infant death syndrome,0,0,0,0,0
